timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0.000091,0.503689,0.798006,-9.552148,0.033598,-0.090713,-0.034361
0.005293,0.503689,0.798006,-9.552148,0.033598,-0.090713,-0.034361
0.009661,0.503689,0.798006,-9.552148,0.032376,-0.088270,-0.032376
0.013844,0.478565,0.811167,-9.550951,0.032376,-0.088270,-0.032376
0.017968,0.478565,0.811167,-9.550951,0.032376,-0.088270,-0.032376
0.022040,0.501296,0.813560,-9.572487,0.034514,-0.091783,-0.034208
0.026102,0.501296,0.813560,-9.572487,0.034514,-0.091783,-0.034208
0.030235,0.478565,0.789631,-9.567701,0.033903,-0.091935,-0.033598
0.034400,0.478565,0.789631,-9.567701,0.033903,-0.091935,-0.033598
0.038478,0.478565,0.789631,-9.567701,0.033903,-0.091935,-0.033598
0.042548,0.495314,0.815953,-9.527023,0.035125,-0.093921,-0.034819
0.046613,0.495314,0.815953,-9.527023,0.035125,-0.093921,-0.034819
0.050734,0.466600,0.801596,-9.500702,0.034667,-0.091019,-0.036346
0.054929,0.466600,0.801596,-9.500702,0.034667,-0.091019,-0.036346
0.059171,0.466600,0.801596,-9.500702,0.032223,-0.087965,-0.034819
0.063346,0.506082,0.802792,-9.533005,0.032223,-0.087965,-0.034819
0.067436,0.506082,0.802792,-9.533005,0.032223,-0.087965,-0.034819
0.071604,0.506082,0.795614,-9.586844,0.036805,-0.096517,-0.039859
0.075877,0.506082,0.795614,-9.586844,0.036805,-0.096517,-0.039859
0.080558,0.485743,0.805185,-9.530612,0.032529,-0.087812,-0.035583
0.084653,0.485743,0.805185,-9.530612,0.032529,-0.087812,-0.035583
0.088818,0.485743,0.805185,-9.530612,0.032529,-0.087812,-0.036346
0.093091,0.495314,0.782453,-9.538987,0.033903,-0.090255,-0.036346
0.097190,0.495314,0.782453,-9.538987,0.033903,-0.090255,-0.036346
0.101248,0.480957,0.787239,-9.540184,0.034819,-0.092546,-0.034819
0.105301,0.480957,0.787239,-9.540184,0.034819,-0.092546,-0.034819
0.109543,0.480957,0.787239,-9.540184,0.034208,-0.092088,-0.034361
0.113759,0.458226,0.796810,-9.541380,0.034208,-0.092088,-0.034361
0.117902,0.458226,0.796810,-9.541380,0.034208,-0.092088,-0.034361
0.121984,0.494118,0.808774,-9.482756,0.033139,-0.089339,-0.032223
0.126045,0.494118,0.808774,-9.482756,0.033139,-0.089339,-0.032223
0.130101,0.504886,0.778864,-9.525827,0.032376,-0.088270,-0.031918
0.134309,0.504886,0.778864,-9.525827,0.032376,-0.088270,-0.031918
0.138404,0.504886,0.778864,-9.525827,0.032376,-0.088270,-0.031918
0.142466,0.478565,0.781257,-9.560523,0.034819,-0.091019,-0.034056
