timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0.000077,0.684347,0.926022,-9.506684,0.034056,-0.092546,-0.021075
0.005311,0.684347,0.926022,-9.506684,0.034056,-0.092546,-0.021075
0.009414,0.684347,0.926022,-9.506684,0.035888,-0.111941,-0.009316
0.013685,0.634098,1.001396,-9.528220,0.035888,-0.111941,-0.009316
0.017927,0.634098,1.001396,-9.528220,0.035888,-0.111941,-0.009316
0.022010,0.534796,0.961915,-9.611968,0.037874,-0.131183,-0.011148
0.026069,0.534796,0.961915,-9.611968,0.037874,-0.131183,-0.011148
0.030154,0.468993,0.933201,-9.416953,0.037721,-0.133016,-0.025962
0.034238,0.468993,0.933201,-9.416953,0.037721,-0.133016,-0.025962
0.038453,0.468993,0.933201,-9.416953,0.037721,-0.133016,-0.025962
0.042539,0.384048,0.926022,-9.573683,0.039248,-0.131947,-0.045051
0.046602,0.384048,0.926022,-9.573683,0.039248,-0.131947,-0.045051
0.050685,0.441476,0.912862,-9.521041,0.036805,-0.095753,-0.055131
0.054898,0.441476,0.912862,-9.521041,0.036805,-0.095753,-0.055131
0.060690,0.433101,0.851845,-9.585647,0.022755,-0.053451,-0.059559
0.066070,0.433101,0.851845,-9.585647,0.022755,-0.053451,-0.059559
0.070253,0.547956,0.808774,-9.497113,0.027336,-0.040470,-0.067959
0.074346,0.547956,0.808774,-9.497113,0.027336,-0.040470,-0.067959
0.078535,0.547956,0.808774,-9.497113,0.027336,-0.040470,-0.067959
0.082646,0.586242,0.786042,-9.560523,0.029474,-0.045509,-0.071929
0.086757,0.586242,0.786042,-9.560523,0.029474,-0.045509,-0.071929
0.090825,0.604188,0.756132,-9.600004,0.033139,-0.067806,-0.069180
0.094929,0.604188,0.756132,-9.600004,0.033139,-0.067806,-0.069180
0.099109,0.604188,0.756132,-9.600004,0.035888,-0.092852,-0.056658
0.103173,0.586242,0.713061,-9.600004,0.035888,-0.092852,-0.056658
0.107246,0.586242,0.713061,-9.600004,0.035888,-0.092852,-0.056658
0.111278,0.501296,0.654437,-9.584451,0.036041,-0.105680,-0.046884
0.115541,0.501296,0.654437,-9.584451,0.036041,-0.105680,-0.046884
0.119743,0.501296,0.707079,-9.521041,0.034972,-0.118508,-0.035736
0.123866,0.470190,0.707079,-9.521041,0.034972,-0.118508,-0.035736
0.127959,0.470190,0.707079,-9.521041,0.034972,-0.118508,-0.035736
0.132052,0.418744,0.768096,-9.586844,0.034056,-0.111483,-0.027642
0.136133,0.418744,0.768096,-9.586844,0.034056,-0.111483,-0.027642
0.140318,0.373280,0.827917,-9.507881,0.035736,-0.100182,-0.021228
0.144410,0.373280,0.827917,-9.507881,0.035736,-0.100182,-0.021228
0.148470,0.373280,0.827917,-9.507881,0.035736,-0.100182,-0.021228
0.152538,0.534796,0.870987,-9.578469,0.037263,-0.102320,-0.011148
0.156596,0.534796,0.870987,-9.578469,0.037263,-0.102320,-0.011148
0.160811,0.623330,0.972682,-9.475577,0.037721,-0.099418,-0.001833
0.165066,0.623330,0.972682,-9.475577,0.037721,-0.099418,-0.001833
0.169176,0.623330,0.972682,-9.475577,0.036499,-0.097738,-0.007941
0.173246,0.655633,0.906880,-9.528220,0.036499,-0.097738,-0.007941
0.177617,0.655633,0.906880,-9.528220,0.036499,-0.097738,-0.007941
0.181832,0.474975,0.941576,-9.501899,0.038179,-0.102014,-0.025962
0.185972,0.474975,0.941576,-9.501899,0.038179,-0.102014,-0.025962
0.190078,0.447458,0.808774,-9.542577,0.036041,-0.109650,-0.022755
0.194142,0.447458,0.808774,-9.542577,0.036041,-0.109650,-0.022755
0.198255,0.447458,0.808774,-9.542577,0.036041,-0.109650,-0.022755
0.202416,0.520439,0.762114,-9.516255,0.036346,-0.092546,-0.022602
0.206483,0.520439,0.762114,-9.516255,0.036346,-0.092546,-0.022602
0.210526,0.443869,0.801596,-9.560523,0.040775,-0.085827,-0.021991
0.214963,0.443869,0.801596,-9.560523,0.040775,-0.085827,-0.021991
0.219194,0.443869,0.801596,-9.560523,0.039248,-0.090866,-0.016341
0.223405,0.574277,0.803988,-9.525827,0.039248,-0.090866,-0.016341
0.227485,0.574277,0.803988,-9.525827,0.039248,-0.090866,-0.016341
0.231547,0.641276,0.781257,-9.568898,0.033292,-0.097280,-0.014355
0.235611,0.641276,0.781257,-9.568898,0.033292,-0.097280,-0.014355
0.239753,0.434297,0.780060,-9.510273,0.035736,-0.091019,-0.029474
0.243929,0.434297,0.780060,-9.510273,0.035736,-0.091019,-0.029474
0.248044,0.434297,0.780060,-9.510273,0.035736,-0.091019,-0.029474
0.252098,0.459422,0.765703,-9.499506,0.034361,-0.086437,-0.036652
0.256159,0.459422,0.765703,-9.499506,0.034361,-0.086437,-0.036652
0.260291,0.656830,0.704686,-9.531809,0.036805,-0.097738,-0.037415
