timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0.000071,0.587438,0.764507,-9.550951,0.034819,-0.090866,-0.034819
0.005331,0.587438,0.764507,-9.550951,0.034819,-0.090866,-0.034819
0.009517,0.587438,0.764507,-9.550951,0.033139,-0.090713,-0.034667
0.013603,0.586242,0.769292,-9.558130,0.033139,-0.090713,-0.034667
0.017684,0.586242,0.769292,-9.558130,0.033139,-0.090713,-0.034667
0.021730,0.577867,0.760918,-9.541380,0.033139,-0.091783,-0.036041
0.025858,0.577867,0.760918,-9.541380,0.033139,-0.091783,-0.036041
0.029986,0.577867,0.759721,-9.518648,0.032376,-0.091019,-0.033598
0.034083,0.582652,0.759721,-9.518648,0.032376,-0.091019,-0.033598
0.038167,0.582652,0.759721,-9.518648,0.032376,-0.091019,-0.033598
0.042325,0.594616,0.746561,-9.531809,0.034667,-0.090713,-0.035125
0.046692,0.594616,0.746561,-9.531809,0.034667,-0.090713,-0.035125
0.050853,0.541974,0.732204,-9.535398,0.034972,-0.090866,-0.035736
0.054945,0.541974,0.732204,-9.535398,0.034972,-0.090866,-0.035736
0.059026,0.541974,0.732204,-9.535398,0.034972,-0.096059,-0.037415
0.063109,0.577867,0.751346,-9.537791,0.036957,-0.096059,-0.037415
0.067334,0.577867,0.751346,-9.537791,0.036957,-0.096059,-0.037415
0.071423,0.575474,0.753739,-9.464810,0.034514,-0.091019,-0.033903
0.075519,0.575474,0.753739,-9.464810,0.034514,-0.091019,-0.033903
0.079641,0.575474,0.753739,-9.568898,0.032529,-0.085674,-0.031765
0.083695,0.591027,0.757328,-9.568898,0.032529,-0.085674,-0.031765
0.087902,0.591027,0.757328,-9.568898,0.032529,-0.085674,-0.031765
0.092000,0.569492,0.739382,-9.493524,0.032681,-0.087965,-0.035583
0.096284,0.569492,0.739382,-9.493524,0.032681,-0.087965,-0.035583
0.100363,0.538385,0.756132,-9.518648,0.033139,-0.090866,-0.034819
0.104422,0.538385,0.756132,-9.518648,0.033139,-0.090866,-0.034819
0.108650,0.538385,0.756132,-9.518648,0.033139,-0.090866,-0.034208
0.112740,0.582652,0.760918,-9.485149,0.032376,-0.088575,-0.034208
0.116821,0.582652,0.760918,-9.485149,0.032376,-0.088575,-0.034208
0.120898,0.575474,0.756132,-9.506684,0.032376,-0.087201,-0.034056
0.124954,0.575474,0.756132,-9.506684,0.032376,-0.087201,-0.034056
0.129168,0.575474,0.756132,-9.506684,0.029322,-0.085216,-0.032987
0.133224,0.583849,0.788435,-9.534202,0.029322,-0.085216,-0.032987
0.137300,0.583849,0.788435,-9.534202,0.029322,-0.085216,-0.032987
0.141373,0.586242,0.736989,-9.524630,0.030085,-0.085368,-0.031612
0.145653,0.586242,0.736989,-9.524630,0.030085,-0.085368,-0.031612
0.149861,0.573081,0.750150,-9.576076,0.032223,-0.089034,-0.034361
0.153935,0.573081,0.750150,-9.576076,0.032223,-0.089034,-0.034361
0.158029,0.573081,0.750150,-9.576076,0.032223,-0.089034,-0.034361
0.162080,0.570688,0.770489,-9.504291,0.035430,-0.092852,-0.036652
0.166228,0.570688,0.770489,-9.504291,0.035430,-0.092852,-0.036652
0.170378,0.606581,0.746561,-9.570094,0.031460,-0.088575,-0.034361
