timestamp,velX,velY,velZ,gyroXdrift,gyroYdrift,gyroZdrift
0.002353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.023628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.035990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.044356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.048639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.052759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.056846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.065040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.073324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.077429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.081540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.085616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.089802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.093996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.098192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.102266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.106412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.114641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.118727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.122799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.126932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.131069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.135126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.139197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.143321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.147603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.151759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.155838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.159929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.163982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.168167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.172275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.176584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.184728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.188844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.192948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.197270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.201396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.205709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.211248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.215662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.219758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.223855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.227934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.232168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.236793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.245254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.249476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.253622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.257689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.261732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.265795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.269889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.274011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.278081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.282122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.286187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.290310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.294549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.298779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
